"date","horizon","model","csfe"
2016-01-01,"h = 1","MRF fixed",-0.0665029614613069
2016-02-01,"h = 1","MRF fixed",-0.0534324065428482
2016-03-01,"h = 1","MRF fixed",0.0661042703902539
2016-04-01,"h = 1","MRF fixed",0.0978906860486631
2016-05-01,"h = 1","MRF fixed",0.0592167936937336
2016-06-01,"h = 1","MRF fixed",0.115739584689323
2016-07-01,"h = 1","MRF fixed",0.10723390599705
2016-08-01,"h = 1","MRF fixed",0.104375605123264
2016-09-01,"h = 1","MRF fixed",0.119077977178403
2016-10-01,"h = 1","MRF fixed",0.11872861787984
2016-11-01,"h = 1","MRF fixed",0.134906659424688
2016-12-01,"h = 1","MRF fixed",0.134929262127947
2017-01-01,"h = 1","MRF fixed",0.138051724886782
2017-02-01,"h = 1","MRF fixed",0.128833177650411
2017-03-01,"h = 1","MRF fixed",0.119890597931442
2017-04-01,"h = 1","MRF fixed",0.143914322002176
2017-05-01,"h = 1","MRF fixed",0.14298757330006
2017-06-01,"h = 1","MRF fixed",0.122737941704961
2017-07-01,"h = 1","MRF fixed",0.133942009425649
2017-08-01,"h = 1","MRF fixed",0.110023677582468
2017-09-01,"h = 1","MRF fixed",0.105452521144263
2017-10-01,"h = 1","MRF fixed",0.120971750437896
2017-11-01,"h = 1","MRF fixed",0.100315687101047
2017-12-01,"h = 1","MRF fixed",0.10504956512288
2018-01-01,"h = 1","MRF fixed",0.0841272466453524
2018-02-01,"h = 1","MRF fixed",0.0768652109425365
2018-03-01,"h = 1","MRF fixed",0.0513205406923622
2018-04-01,"h = 1","MRF fixed",0.0529909469628385
2018-05-01,"h = 1","MRF fixed",0.0577224195557989
2018-06-01,"h = 1","MRF fixed",0.368647341624708
2018-07-01,"h = 1","MRF fixed",0.340321166232402
2018-08-01,"h = 1","MRF fixed",0.427373475478555
2018-09-01,"h = 1","MRF fixed",0.426752934450799
2018-10-01,"h = 1","MRF fixed",0.40231990078662
2018-11-01,"h = 1","MRF fixed",0.458843905917428
2018-12-01,"h = 1","MRF fixed",0.458733826580625
2019-01-01,"h = 1","MRF fixed",0.466713940108478
2019-02-01,"h = 1","MRF fixed",0.472313620723002
2019-03-01,"h = 1","MRF fixed",0.536190974964604
2019-04-01,"h = 1","MRF fixed",0.545862814188629
2019-05-01,"h = 1","MRF fixed",0.587655211588025
2019-06-01,"h = 1","MRF fixed",0.683527503694463
2019-07-01,"h = 1","MRF fixed",0.678640229249265
2019-08-01,"h = 1","MRF fixed",0.659108783271033
2019-09-01,"h = 1","MRF fixed",0.653888263129689
2019-10-01,"h = 1","MRF fixed",0.645802239877064
2019-11-01,"h = 1","MRF fixed",0.713489949722146
2019-12-01,"h = 1","MRF fixed",0.79370881514775
2020-01-01,"h = 1","MRF fixed",0.761350730992695
2020-02-01,"h = 1","MRF fixed",0.762260557593103
2020-03-01,"h = 1","MRF fixed",0.778826757324804
2020-04-01,"h = 1","MRF fixed",0.754952104472028
2020-05-01,"h = 1","MRF fixed",0.58924834324764
2020-06-01,"h = 1","MRF fixed",0.64828655173355
2020-07-01,"h = 1","MRF fixed",0.634183286900797
2020-08-01,"h = 1","MRF fixed",0.611969179819446
2020-09-01,"h = 1","MRF fixed",0.665587984024894
2020-10-01,"h = 1","MRF fixed",0.701942581112165
2020-11-01,"h = 1","MRF fixed",0.717583179978862
2020-12-01,"h = 1","MRF fixed",0.699668807422389
2021-01-01,"h = 1","MRF fixed",0.700725430929144
2021-02-01,"h = 1","MRF fixed",0.690872216542218
2021-03-01,"h = 1","MRF fixed",0.750917473061088
2021-04-01,"h = 1","MRF fixed",0.710771249624734
2021-05-01,"h = 1","MRF fixed",0.778172067224153
2021-06-01,"h = 1","MRF fixed",0.757435274912024
2021-07-01,"h = 1","MRF fixed",0.722966330086565
2021-08-01,"h = 1","MRF fixed",0.73420779680093
2021-09-01,"h = 1","MRF fixed",0.672184529351774
2021-10-01,"h = 1","MRF fixed",0.627232100838175
2021-11-01,"h = 1","MRF fixed",0.626219876740793
2021-12-01,"h = 1","MRF fixed",0.628948847180756
2022-01-01,"h = 1","MRF fixed",0.625866319407302
2022-02-01,"h = 1","MRF fixed",0.651691761747716
2022-03-01,"h = 1","MRF fixed",0.677294181960005
2022-04-01,"h = 1","MRF fixed",0.678141212372211
2022-05-01,"h = 1","MRF fixed",0.787261326058295
2022-06-01,"h = 1","MRF fixed",0.70598348453557
2022-07-01,"h = 1","MRF fixed",0.885457851429663
2022-08-01,"h = 1","MRF fixed",0.898442845099027
2022-09-01,"h = 1","MRF fixed",0.860430339761068
2022-10-01,"h = 1","MRF fixed",0.954569529572085
2022-11-01,"h = 1","MRF fixed",0.93761038751274
2022-12-01,"h = 1","MRF fixed",0.924897314115411
2023-01-01,"h = 1","MRF fixed",0.921965440568588
2023-02-01,"h = 1","MRF fixed",0.898339066571619
2023-03-01,"h = 1","MRF fixed",0.903527571706432
2023-04-01,"h = 1","MRF fixed",0.898120780658322
2023-05-01,"h = 1","MRF fixed",0.890861643807328
2023-06-01,"h = 1","MRF fixed",0.965465593246422
2023-07-01,"h = 1","MRF fixed",0.975823345599043
2023-08-01,"h = 1","MRF fixed",0.974044923879301
2023-09-01,"h = 1","MRF fixed",0.972927208245292
2023-10-01,"h = 1","MRF fixed",0.977944488962516
2023-11-01,"h = 1","MRF fixed",0.976507792062742
2023-12-01,"h = 1","MRF fixed",0.977922762388347
2024-01-01,"h = 1","MRF fixed",0.97478486035328
2024-02-01,"h = 1","MRF fixed",0.955722867569195
2024-03-01,"h = 1","MRF fixed",0.968820080321613
2024-04-01,"h = 1","MRF fixed",0.948543291871627
2024-05-01,"h = 1","MRF fixed",0.953384481681546
2024-06-01,"h = 1","MRF fixed",0.923537339443554
2024-07-01,"h = 1","MRF fixed",0.927802996956536
2024-08-01,"h = 1","MRF fixed",0.91308743502494
2024-09-01,"h = 1","MRF fixed",0.898698491324672
2024-10-01,"h = 1","MRF fixed",0.913677906176252
2024-11-01,"h = 1","MRF fixed",0.902115691353306
2024-12-01,"h = 1","MRF fixed",0.90644819991619
2025-01-01,"h = 1","MRF fixed",0.873360731875547
2025-02-01,"h = 1","MRF fixed",0.845236922486541
2025-03-01,"h = 1","MRF fixed",0.73846734280257
2025-04-01,"h = 1","MRF fixed",0.746855124151736
2025-05-01,"h = 1","MRF fixed",0.756616766150645
2025-06-01,"h = 1","MRF fixed",0.75875966319282
2025-07-01,"h = 1","MRF fixed",0.765579578694294
2025-08-01,"h = 1","MRF fixed",0.731818261399457
2025-09-01,"h = 1","MRF fixed",0.709343588360302
2025-10-01,"h = 1","MRF fixed",0.676683177837372
2025-11-01,"h = 1","MRF fixed",0.678356926450168
2025-12-01,"h = 1","MRF fixed",0.678126440027672
2016-01-01,"h = 1","MRF expanding",-0.0925403280438631
2016-02-01,"h = 1","MRF expanding",-0.0747489189243738
2016-03-01,"h = 1","MRF expanding",0.029737857566113
2016-04-01,"h = 1","MRF expanding",0.05684137406758
2016-05-01,"h = 1","MRF expanding",0.0225189147087079
2016-06-01,"h = 1","MRF expanding",0.0864892667606146
2016-07-01,"h = 1","MRF expanding",0.0703176386492713
2016-08-01,"h = 1","MRF expanding",0.0680894696445668
2016-09-01,"h = 1","MRF expanding",0.0739726695487092
2016-10-01,"h = 1","MRF expanding",0.072875660179677
2016-11-01,"h = 1","MRF expanding",0.097402204772736
2016-12-01,"h = 1","MRF expanding",0.0974764452900674
2017-01-01,"h = 1","MRF expanding",0.0988737206764627
2017-02-01,"h = 1","MRF expanding",0.0891546615161823
2017-03-01,"h = 1","MRF expanding",0.0789592710044206
2017-04-01,"h = 1","MRF expanding",0.103869454727748
2017-05-01,"h = 1","MRF expanding",0.104220199568886
2017-06-01,"h = 1","MRF expanding",0.0476284430291581
2017-07-01,"h = 1","MRF expanding",0.0605246681824397
2017-08-01,"h = 1","MRF expanding",0.0519948542838385
2017-09-01,"h = 1","MRF expanding",0.0460312781293765
2017-10-01,"h = 1","MRF expanding",0.0601466127532358
2017-11-01,"h = 1","MRF expanding",0.0453373826902354
2017-12-01,"h = 1","MRF expanding",0.0484344073546093
2018-01-01,"h = 1","MRF expanding",0.0394787261591164
2018-02-01,"h = 1","MRF expanding",0.0347089926110985
2018-03-01,"h = 1","MRF expanding",0.02773414764368
2018-04-01,"h = 1","MRF expanding",0.0296318359734814
2018-05-01,"h = 1","MRF expanding",0.0338252175663553
2018-06-01,"h = 1","MRF expanding",0.290606766614158
2018-07-01,"h = 1","MRF expanding",0.421884648877035
2018-08-01,"h = 1","MRF expanding",0.488683729773447
2018-09-01,"h = 1","MRF expanding",0.50023221598897
2018-10-01,"h = 1","MRF expanding",0.478212940425422
2018-11-01,"h = 1","MRF expanding",0.564328745325076
2018-12-01,"h = 1","MRF expanding",0.568842155630592
2019-01-01,"h = 1","MRF expanding",0.573719995298803
2019-02-01,"h = 1","MRF expanding",0.579058032454176
2019-03-01,"h = 1","MRF expanding",0.634351338441798
2019-04-01,"h = 1","MRF expanding",0.649838088609523
2019-05-01,"h = 1","MRF expanding",0.694803328916594
2019-06-01,"h = 1","MRF expanding",0.800923970879858
2019-07-01,"h = 1","MRF expanding",0.790767894158149
2019-08-01,"h = 1","MRF expanding",0.797209671216761
2019-09-01,"h = 1","MRF expanding",0.803023740324047
2019-10-01,"h = 1","MRF expanding",0.778475609118431
2019-11-01,"h = 1","MRF expanding",0.849444399496295
2019-12-01,"h = 1","MRF expanding",0.892567733912487
2020-01-01,"h = 1","MRF expanding",0.902002483538568
2020-02-01,"h = 1","MRF expanding",0.902891826143688
2020-03-01,"h = 1","MRF expanding",0.940023224594672
2020-04-01,"h = 1","MRF expanding",0.899503478909783
2020-05-01,"h = 1","MRF expanding",0.232825950332471
2020-06-01,"h = 1","MRF expanding",0.20456654114763
2020-07-01,"h = 1","MRF expanding",0.20197939554276
2020-08-01,"h = 1","MRF expanding",0.218404518325707
2020-09-01,"h = 1","MRF expanding",0.30866835660214
2020-10-01,"h = 1","MRF expanding",0.330332737984292
2020-11-01,"h = 1","MRF expanding",0.323424116595337
2020-12-01,"h = 1","MRF expanding",0.276588707115322
2021-01-01,"h = 1","MRF expanding",0.356220281911411
2021-02-01,"h = 1","MRF expanding",0.522175542684327
2021-03-01,"h = 1","MRF expanding",0.564753794146992
2021-04-01,"h = 1","MRF expanding",0.560571193406931
2021-05-01,"h = 1","MRF expanding",0.681425074090314
2021-06-01,"h = 1","MRF expanding",0.654753397726124
2021-07-01,"h = 1","MRF expanding",0.613534173584772
2021-08-01,"h = 1","MRF expanding",0.594944154968524
2021-09-01,"h = 1","MRF expanding",0.528452783388713
2021-10-01,"h = 1","MRF expanding",0.431445657000802
2021-11-01,"h = 1","MRF expanding",0.430051401254351
2021-12-01,"h = 1","MRF expanding",0.412156270355625
2022-01-01,"h = 1","MRF expanding",0.402876984646224
2022-02-01,"h = 1","MRF expanding",0.531826428960913
2022-03-01,"h = 1","MRF expanding",0.511095876740813
2022-04-01,"h = 1","MRF expanding",0.499979512108571
2022-05-01,"h = 1","MRF expanding",0.519000198524066
2022-06-01,"h = 1","MRF expanding",0.511776790549789
2022-07-01,"h = 1","MRF expanding",0.706489894706157
2022-08-01,"h = 1","MRF expanding",0.67985078233192
2022-09-01,"h = 1","MRF expanding",0.574135756319955
2022-10-01,"h = 1","MRF expanding",0.690081940091416
2022-11-01,"h = 1","MRF expanding",0.685776475130256
2022-12-01,"h = 1","MRF expanding",0.643130985948617
2023-01-01,"h = 1","MRF expanding",0.643964956700507
2023-02-01,"h = 1","MRF expanding",0.630919555415009
2023-03-01,"h = 1","MRF expanding",0.632040763693422
2023-04-01,"h = 1","MRF expanding",0.57534585286665
2023-05-01,"h = 1","MRF expanding",0.570924411181361
2023-06-01,"h = 1","MRF expanding",0.722612187678816
2023-07-01,"h = 1","MRF expanding",0.730195713750873
2023-08-01,"h = 1","MRF expanding",0.73061114216946
2023-09-01,"h = 1","MRF expanding",0.732666206826253
2023-10-01,"h = 1","MRF expanding",0.734282974754709
2023-11-01,"h = 1","MRF expanding",0.731392926513863
2023-12-01,"h = 1","MRF expanding",0.722135048831423
2024-01-01,"h = 1","MRF expanding",0.726535106060359
2024-02-01,"h = 1","MRF expanding",0.773417649003751
2024-03-01,"h = 1","MRF expanding",0.848499362830362
2024-04-01,"h = 1","MRF expanding",0.830405029731639
2024-05-01,"h = 1","MRF expanding",0.830087069379481
2024-06-01,"h = 1","MRF expanding",0.809270450444217
2024-07-01,"h = 1","MRF expanding",0.814043706611243
2024-08-01,"h = 1","MRF expanding",0.860418530550728
2024-09-01,"h = 1","MRF expanding",0.856550841833323
2024-10-01,"h = 1","MRF expanding",0.867349715980568
2024-11-01,"h = 1","MRF expanding",0.851913570610043
2024-12-01,"h = 1","MRF expanding",0.856676310186734
2025-01-01,"h = 1","MRF expanding",0.815107805307566
2025-02-01,"h = 1","MRF expanding",1.11237748406416
2025-03-01,"h = 1","MRF expanding",1.20070512824777
2025-04-01,"h = 1","MRF expanding",1.2113627500814
2025-05-01,"h = 1","MRF expanding",1.21954950429351
2025-06-01,"h = 1","MRF expanding",1.22569263981629
2025-07-01,"h = 1","MRF expanding",1.23318672315189
2025-08-01,"h = 1","MRF expanding",1.26343993782418
2025-09-01,"h = 1","MRF expanding",1.30697677174731
2025-10-01,"h = 1","MRF expanding",1.37709734091681
2025-11-01,"h = 1","MRF expanding",1.37477189932164
2025-12-01,"h = 1","MRF expanding",1.37456622258109
2016-03-01,"h = 3","MRF fixed",0.0855787853454124
2016-04-01,"h = 3","MRF fixed",0.105944826229679
2016-05-01,"h = 3","MRF fixed",0.0525305081381321
2016-06-01,"h = 3","MRF fixed",0.0523498143809132
2016-07-01,"h = 3","MRF fixed",0.0858070923171864
2016-08-01,"h = 3","MRF fixed",0.103306735480691
2016-09-01,"h = 3","MRF fixed",0.174369113786426
2016-10-01,"h = 3","MRF fixed",0.153221237586519
2016-11-01,"h = 3","MRF fixed",0.127797924182969
2016-12-01,"h = 3","MRF fixed",0.0994975933295917
2017-01-01,"h = 3","MRF fixed",0.126099351203214
2017-02-01,"h = 3","MRF fixed",0.119865545266865
2017-03-01,"h = 3","MRF fixed",0.0867821273257567
2017-04-01,"h = 3","MRF fixed",0.020704635463511
2017-05-01,"h = 3","MRF fixed",0.0314941261468232
2017-06-01,"h = 3","MRF fixed",0.15630706742164
2017-07-01,"h = 3","MRF fixed",0.0862089885660024
2017-08-01,"h = 3","MRF fixed",0.125185517940456
2017-09-01,"h = 3","MRF fixed",0.00957420441118666
2017-10-01,"h = 3","MRF fixed",0.00979530768918323
2017-11-01,"h = 3","MRF fixed",-0.000647618451896029
2017-12-01,"h = 3","MRF fixed",-0.00644752340104559
2018-01-01,"h = 3","MRF fixed",-0.029861196703319
2018-02-01,"h = 3","MRF fixed",-0.0630892540131978
2018-03-01,"h = 3","MRF fixed",-0.136115432156241
2018-04-01,"h = 3","MRF fixed",-0.213936417401783
2018-05-01,"h = 3","MRF fixed",-0.224618998916239
2018-06-01,"h = 3","MRF fixed",-0.0180218467774514
2018-07-01,"h = 3","MRF fixed",-0.0380030842351682
2018-08-01,"h = 3","MRF fixed",-0.26573145536459
2018-09-01,"h = 3","MRF fixed",-0.205666052961363
2018-10-01,"h = 3","MRF fixed",-0.21347330833429
2018-11-01,"h = 3","MRF fixed",-0.457690069617654
2018-12-01,"h = 3","MRF fixed",-0.56933721131151
2019-01-01,"h = 3","MRF fixed",-0.579217505066097
2019-02-01,"h = 3","MRF fixed",-0.557217331989681
2019-03-01,"h = 3","MRF fixed",-0.374003325034221
2019-04-01,"h = 3","MRF fixed",-0.363169193425766
2019-05-01,"h = 3","MRF fixed",-0.370484605576245
2019-06-01,"h = 3","MRF fixed",-0.142744501587504
2019-07-01,"h = 3","MRF fixed",-0.118986433390459
2019-08-01,"h = 3","MRF fixed",-0.183770030455256
2019-09-01,"h = 3","MRF fixed",-0.460070602143327
2019-10-01,"h = 3","MRF fixed",-0.491672173655277
2019-11-01,"h = 3","MRF fixed",-0.454650495022917
2019-12-01,"h = 3","MRF fixed",-0.0940016942810199
2020-01-01,"h = 3","MRF fixed",-0.182016179155917
2020-02-01,"h = 3","MRF fixed",-0.215282093403097
2020-03-01,"h = 3","MRF fixed",-0.12201600547297
2020-04-01,"h = 3","MRF fixed",-0.356365406225084
2020-05-01,"h = 3","MRF fixed",-0.447905605380618
2020-06-01,"h = 3","MRF fixed",-0.504821177997852
2020-07-01,"h = 3","MRF fixed",-0.736759962379156
2020-08-01,"h = 3","MRF fixed",-0.765352042729167
2020-09-01,"h = 3","MRF fixed",-0.727256529686424
2020-10-01,"h = 3","MRF fixed",-0.721742650528757
2020-11-01,"h = 3","MRF fixed",-0.580898528488036
2020-12-01,"h = 3","MRF fixed",-0.675349201998749
2021-01-01,"h = 3","MRF fixed",-0.639881445044959
2021-02-01,"h = 3","MRF fixed",-0.706074501549451
2021-03-01,"h = 3","MRF fixed",-0.803360406558228
2021-04-01,"h = 3","MRF fixed",-0.92979690622309
